delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beeb.started,sound_1.started,sound_1.stopped,beeb.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,19,7,1,space,0.9984590999956708,None,100,1,[1.5502229999983683],[1.550237500021467],1,7,19,11,149.1969805000117,,149.18271359999198,149.1969805000117,150.1965763999906,150.1965763999906,150.1965763999906,151.19731950000278,space,0.9984590999956708,None,151.19819220001227,151.91184486667433,152.2372306000034,152.21299890000955,152.2136732999934,152.2372306000034,152.2372306000034,152.2372306000034,153.7882862999977,100,1,[1.5502229999983683],[1.550237500021467],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,1000,exp,20,8,1,space,0.8906903000024613,None,100,1,[1.5501124000002164],[1.550125499983551],1,8,20,4,153.80358239999623,,153.78866580000613,153.80358239999623,154.80257540001185,154.80257540001185,154.80257540001185,155.70358780000242,space,0.8906903000024613,None,155.7044778999989,156.1186968666773,156.4433462000161,156.4192650000041,156.41979630000424,156.4433462000161,156.4433462000161,156.4433462000161,157.99443819999578,100,1,[1.5501124000002164],[1.550125499983551],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,1000,exp,21,9,1,space,1.7664895000052638,None,200,1,[3.831642000004649],[3.831657200003974],1,9,21,3,158.00965510000242,,157.99487029999727,158.00965510000242,159.0091562999878,159.0091562999878,159.0091562999878,160.79294049998862,space,1.7664895000052638,None,160.79369409999344,160.90910016667138,161.23415850001038,161.2080428999907,161.20856870000716,161.23415850001038,161.23415850001038,161.23415850001038,165.06665419999626,200,1,[3.831642000004649],[3.831657200003974],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,1000,exp,22,10,1,space,0.33954529999755323,None,300,1,[1.733631899987813],[1.7336467999848537],1,10,22,7,165.0816085000115,,165.06696980001288,165.0816085000115,166.0810150000034,166.0810150000034,166.0810150000034,166.4319564999896,space,0.33954529999755323,None,166.43272060001618,166.8472942666597,167.17214050001348,167.14940439999918,167.14993489999324,167.17214050001348,167.17214050001348,167.17214050001348,168.9067548000021,300,1,[1.733631899987813],[1.7336467999848537],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,400,unexp,23,11,1,space,0.3562402999959886,None,100,1,[2.4332982000196353],[2.4333123000105843],1,11,23,1,168.92161399999168,,168.9071576000133,168.92161399999168,169.9212191000115,169.9212191000115,169.9212191000115,170.28877720001037,space,0.3562402999959886,None,170.2895797000092,170.70430276665527,171.02909019999788,171.00004260000424,171.00067360000685,171.02909019999788,171.02909019999788,171.02909019999788,173.46331530000316,100,1,[2.4332982000196353],[2.4333123000105843],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,1000,exp,24,0,2,space,0.5053605000139214,None,200,1,[1.4995179999968968],[1.499532999994699],2,0,24,7,173.47804119999637,,173.46377890001168,173.47804119999637,174.47726280000643,174.47726280000643,174.47726280000643,174.99517509998986,space,0.5053605000139214,None,174.9960199999914,175.41028346665942,175.73590440000407,175.71091100000194,175.71148610001546,175.73590440000407,175.73590440000407,175.73590440000407,177.23623999999836,200,1,[1.4995179999968968],[1.499532999994699],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,1000,exp,25,1,2,space,0.424992399988696,None,200,1,[2.0105373000260442],[2.0105524000246078],2,1,25,9,177.25130609999178,,177.23662320000585,177.25130609999178,178.25072310000542,178.25072310000542,178.25072310000542,178.68531500000972,space,0.424992399988696,None,178.68607970001176,178.80042816666926,179.12523269999656,179.09617380000418,179.0968120000034,179.12523269999656,179.12523269999656,179.12523269999656,181.13673210001434,200,1,[2.0105373000260442],[2.0105524000246078],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,1000,exp,26,2,2,space,0.44889110000804067,None,200,1,[1.899421500012977],[1.8994365000107791],2,2,26,4,181.1515592999931,,181.13723140000366,181.1515592999931,182.1508509000123,182.1508509000123,182.1508509000123,182.60181570000714,space,0.44889110000804067,None,182.60267250001198,183.01715756667934,183.34260550001636,183.32014060000074,183.32063040000503,183.34260550001636,183.34260550001636,183.34260550001636,185.24299590001465,200,1,[1.899421500012977],[1.8994365000107791],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,400,unexp,27,3,2,space,0.4300807999970857,None,100,1,[1.8503704000031576],[1.8503854000009596],2,3,27,0,185.25809879999724,,185.24341060000006,185.25809879999724,186.25755199999548,186.25755199999548,186.25755199999548,186.69172360000084,space,0.4300807999970857,None,186.6924668000138,186.80732486668083,187.13205610000296,187.10675480001373,187.10729710001033,187.13205610000296,187.13205610000296,187.13205610000296,188.98324249999132,100,1,[1.8503704000031576],[1.8503854000009596],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,1000,exp,28,4,2,space,0.3617950000043493,None,300,1,[1.799798499996541],[1.7998176999972202],2,4,28,6,189.0015127999941,,188.98371359999874,189.0015127999941,189.99791860001278,189.99791860001278,190.0142152000044,190.3651424999989,space,0.3617950000043493,None,190.36597000001348,190.4806500666639,190.8061749000044,190.77623920000042,190.7767116999894,190.8061749000044,190.8061749000044,190.8061749000044,192.60701330000302,300,1,[1.799798499996541],[1.7998176999972202],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.7,1000,exp,29,5,2,space,1.0275024000147823,None,100,1,[1.634015299991006],[1.6340297000133432],2,5,29,11,192.62196519999998,,192.60741269998834,192.62196519999998,193.62115079999785,193.62115079999785,193.62115079999785,194.65526379999937,space,1.0275024000147823,None,194.65614040000946,195.37016846667782,195.69543469999917,195.67221660001087,195.6731553999998,195.69543469999917,195.69543469999917,195.69543469999917,197.33027360000415,100,1,[1.634015299991006],[1.6340297000133432],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,1000,exp,30,6,2,space,1.668721199996071,None,200,1,[1.966543599992292],[1.9665581999870483],2,6,30,10,197.34538240000256,,197.3306537999888,197.34538240000256,198.344654000015,198.344654000015,198.344654000015,200.02858429998741,space,1.668721199996071,None,200.02946809999412,200.4449106666764,200.76074190001236,200.74526100000367,200.7457643999951,200.76074190001236,200.76074190001236,200.76074190001236,202.7281159000122,200,1,[1.966543599992292],[1.9665581999870483],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
