thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
63,0,63,[0.17833333333333334],[-0.28],[1],[0],[0],[1.1086144000291824],['target'],63,0,63,0,89.7939544999972,,5,89.78505890001543,89.7939544999972,89.7939544999972,0.011507099959999323,90.89402300002985,[0.17833333333333334],[-0.28],[1],[0],[0],[1.1086144000291824],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
64,0,64,[0.3383333333333333],[0.4091666666666667],[1],[0],[0],[1.6917268000543118],['target'],64,0,64,0,90.91496470011771,,5,90.90600479999557,90.91496470011771,90.91496470011771,0.011810499941930175,92.59807930001989,[0.3383333333333333],[0.4091666666666667],[1],[0],[0],[1.6917268000543118],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
65,0,65,[0.32416666666666666],[-0.0725],[1],[0],[0],[1.6840904999990016],['target'],65,0,65,0,92.63896899996325,,10,92.62146600009874,92.63896899996325,92.63896899996325,0.023266700096428394,94.30606229999103,[0.32416666666666666],[-0.0725],[1],[0],[0],[1.6840904999990016],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
66,0,66,[-0.12166666666666667],[-0.26],[1],[0],[0],[1.6775229000486434],['target'],66,0,66,0,94.32984700007364,,5,94.32115829992108,94.32984700007364,94.32984700007364,0.01489650015719235,95.99915930000134,[-0.12166666666666667],[-0.26],[1],[0],[0],[1.6775229000486434],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
67,0,67,[0.075],[-0.3616666666666667],[1],[0],[0],[1.6471661000978202],['target'],67,0,67,0,96.03609760012478,,10,96.02291109994985,96.03609760012478,96.03609760012478,0.023592399898916483,97.6705159000121,[0.075],[-0.3616666666666667],[1],[0],[0],[1.6471661000978202],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
68,0,68,[-0.4166666666666667],[-0.1625],[1],[0],[0],[1.1261507000308484],['target'],68,0,68,0,97.69181749993004,,5,97.68233980005607,97.69181749993004,97.69181749993004,0.01165880006738007,98.80882130004466,[-0.4166666666666667],[-0.1625],[1],[0],[0],[1.1261507000308484],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
69,0,69,[0.4766666666666667],[-0.20916666666666667],[1],[0],[0],[1.2585634000133723],['target'],69,0,69,0,98.82910550013185,,5,98.82040289998986,98.82910550013185,98.82910550013185,0.011447699973359704,100.0794422000181,[0.4766666666666667],[-0.20916666666666667],[1],[0],[0],[1.2585634000133723],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
70,0,70,[0.37083333333333335],[0.21833333333333332],[1],[0],[0],[1.5750637999735773],['target'],70,0,70,0,100.09989459998906,,5,100.0913184999954,100.09989459998906,100.09989459998906,0.011729200137779117,101.6667301999405,[0.37083333333333335],[0.21833333333333332],[1],[0],[0],[1.5750637999735773],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
71,0,71,[-0.060833333333333336],[-0.37583333333333335],[1],[0],[0],[1.151441700058058],['target'],71,0,71,0,101.7075954999309,,10,101.68984279991128,101.7075954999309,101.7075954999309,0.02298740018159151,102.84175390005112,[-0.060833333333333336],[-0.37583333333333335],[1],[0],[0],[1.151441700058058],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
72,0,72,[0.4175],[-0.375],[1],[0],[0],[1.6163757001049817],['target'],72,0,72,0,102.88220590003766,,10,102.86564350011759,102.88220590003766,102.88220590003766,0.023733400041237473,104.48236820008606,[0.4175],[-0.375],[1],[0],[0],[1.6163757001049817],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
