thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
25,0,25,[-0.44416666666666665],[-0.08916666666666667],[1],[0],[0],[0.746379799908027],['target'],25,0,25,0,25.91713729989715,,5,25.905484599992633,25.91713729989715,25.91713729989715,0.020159299951046705,26.652320199878886,[-0.44416666666666665],[-0.08916666666666667],[1],[0],[0],[0.746379799908027],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
26,0,26,[-0.1925],[0.04083333333333333],[1],[0],[0],[0.9902683000545949],['target'],26,0,26,0,26.692474199924618,,5,26.669136199867353,26.692474199924618,26.692474199924618,0.01663349987939,27.659937599906698,[-0.1925],[0.04083333333333333],[1],[0],[0],[0.9902683000545949],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
27,0,27,[-0.0925],[0.31],[1],[0],[0],[1.0248673998285085],['target'],27,0,27,0,27.700176799902692,,5,27.676258399849758,27.700176799902692,27.700176799902692,0.01613619993440807,28.701658899895847,[-0.0925],[0.31],[1],[0],[0],[1.0248673998285085],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
28,0,28,[0.0825],[0.14583333333333334],[1],[0],[0],[0.9424644999671727],['target'],28,0,28,0,28.750275400001556,,10,28.73476010002196,28.750275400001556,28.750275400001556,0.03288369998335838,29.67776079988107,[0.0825],[0.14583333333333334],[1],[0],[0],[0.9424644999671727],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
29,0,29,[-0.195],[-0.18],[1],[0],[0],[1.0298790000379086],['target'],29,0,29,0,29.707567099947482,,5,29.694939999841154,29.707567099947482,29.707567099947482,0.016939599998295307,30.72531310003251,[-0.195],[-0.18],[1],[0],[0],[1.0298790000379086],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
30,0,30,[0.0075],[0.33916666666666667],[1],[0],[0],[1.40162910008803],['target'],30,0,30,0,30.774312099907547,,10,30.757701099850237,30.774312099907547,30.774312099907547,0.0322114999871701,32.15987570001744,[0.0075],[0.33916666666666667],[1],[0],[0],[1.40162910008803],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
31,0,31,[-0.265],[-0.4741666666666667],[1],[0],[0],[2.1640774998813868],['target'],31,0,31,0,32.189887299900874,,5,32.17613329994492,32.189887299900874,32.189887299900874,0.016044599935412407,34.3407360999845,[-0.265],[-0.4741666666666667],[1],[0],[0],[2.1640774998813868],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
32,0,32,[0.024166666666666666],[0.41333333333333333],[1],[0],[0],[1.0898158999625593],['target'],32,0,32,0,34.381000800058246,,5,34.357943699928,34.381000800058246,34.381000800058246,0.017035200027748942,35.448230099864304,[0.024166666666666666],[0.41333333333333333],[1],[0],[0],[1.0898158999625593],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
33,0,33,[-0.4575],[-0.25416666666666665],[1],[0],[0],[1.2578188001643866],['target'],33,0,33,0,35.48842839989811,,5,35.46453689993359,35.48842839989811,35.48842839989811,0.01613060012459755,36.722885800059885,[-0.4575],[-0.25416666666666665],[1],[0],[0],[1.2578188001643866],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
34,0,34,[-0.051666666666666666],[-0.21],[1],[0],[0],[0.9837991001550108],['target'],34,0,34,0,36.76283430005424,,5,36.739364200038835,36.76283430005424,36.76283430005424,0.016280299983918667,37.723607499850914,[-0.051666666666666666],[-0.21],[1],[0],[0],[0.9837991001550108],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
35,0,35,[0.23166666666666666],[-0.2425],[1],[0],[0],[1.3643060999456793],['target'],35,0,35,0,37.753970299847424,,5,37.740310200024396,37.753970299847424,37.753970299847424,0.016522000078111887,39.105165499961004,[0.23166666666666666],[-0.2425],[1],[0],[0],[1.3643060999456793],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
36,0,36,[-0.235],[0.49416666666666664],[1],[0],[0],[2.22080840007402],['target'],36,0,36,0,39.144831999903545,,5,39.123812600038946,39.144831999903545,39.144831999903545,0.018468899885192513,41.345087100053206,[-0.235],[0.49416666666666664],[1],[0],[0],[2.22080840007402],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
