58.5581 	EXP 	New trial (rep=2, index=0): <Trial 14 (0 in rep 2) data={'reward_today': 11, 'future_reward': 30, 'delay': 7, 'thisN': 14, 'thisTrialN': 0, 'thisRepN': 2}>
58.5620 	DATA 	Keypress: l
58.5727 	EXP 	fixation: autoDraw = False
58.5727 	EXP 	text: autoDraw = False
58.5727 	EXP 	text: height = 0.05
58.5727 	EXP 	text: height = 0.05
58.5727 	EXP 	text: height = 0.05
58.5727 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
58.5727 	EXP 	fixation: autoDraw = True
59.5575 	INFO 	Keyboard events cleared
59.5571 	EXP 	text: autoDraw = True
59.5733 	EXP 	fixation: autoDraw = False
60.3410 	EXP 	New trial (rep=2, index=1): <Trial 15 (1 in rep 2) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 15, 'thisTrialN': 1, 'thisRepN': 2}>
60.3458 	DATA 	Keypress: l
60.3556 	EXP 	fixation: autoDraw = False
60.3556 	EXP 	text: autoDraw = False
60.3556 	EXP 	text: height = 0.05
60.3556 	EXP 	text: height = 0.05
60.3556 	EXP 	text: height = 0.05
60.3556 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
60.3556 	EXP 	fixation: autoDraw = True
61.3565 	INFO 	Keyboard events cleared
61.3560 	EXP 	fixation: autoDraw = False
61.3560 	EXP 	text: autoDraw = True
61.8747 	DATA 	Keypress: t
61.8907 	EXP 	New trial (rep=2, index=2): <Trial 16 (2 in rep 2) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 16, 'thisTrialN': 2, 'thisRepN': 2}>
61.9050 	EXP 	fixation: autoDraw = False
61.9050 	EXP 	text: autoDraw = False
61.9050 	EXP 	text: height = 0.05
61.9050 	EXP 	text: height = 0.05
61.9050 	EXP 	text: height = 0.05
61.9050 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
61.9050 	EXP 	fixation: autoDraw = True
62.9054 	INFO 	Keyboard events cleared
62.9050 	EXP 	fixation: autoDraw = False
62.9050 	EXP 	text: autoDraw = True
63.4060 	EXP 	New trial (rep=2, index=3): <Trial 17 (3 in rep 2) data={'reward_today': 40, 'future_reward': 55, 'delay': 62, 'thisN': 17, 'thisTrialN': 3, 'thisRepN': 2}>
63.4104 	DATA 	Keypress: l
63.4207 	EXP 	fixation: autoDraw = False
63.4207 	EXP 	text: autoDraw = False
63.4207 	EXP 	text: height = 0.05
63.4207 	EXP 	text: height = 0.05
63.4207 	EXP 	text: height = 0.05
63.4207 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
63.4207 	EXP 	fixation: autoDraw = True
64.4212 	INFO 	Keyboard events cleared
