17.6622 	EXP 	text: height = 0.05
17.6622 	EXP 	text: height = 0.05
17.6622 	EXP 	text: height = 0.05
17.6622 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
17.6622 	EXP 	fixation: autoDraw = True
18.6625 	INFO 	Keyboard events cleared
18.6622 	EXP 	fixation: autoDraw = False
18.6622 	EXP 	text: autoDraw = True
19.0971 	EXP 	New trial (rep=1, index=5): <Trial 12 (5 in rep 1) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 12, 'thisTrialN': 5, 'thisRepN': 1}>
19.1014 	DATA 	Keypress: t
19.1116 	EXP 	fixation: autoDraw = False
19.1116 	EXP 	text: autoDraw = False
19.1116 	EXP 	text: height = 0.05
19.1116 	EXP 	text: height = 0.05
19.1116 	EXP 	text: height = 0.05
19.1116 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
19.1116 	EXP 	fixation: autoDraw = True
20.1122 	INFO 	Keyboard events cleared
20.1118 	EXP 	fixation: autoDraw = False
20.1118 	EXP 	text: autoDraw = True
21.0954 	EXP 	New trial (rep=1, index=6): <Trial 13 (6 in rep 1) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 13, 'thisTrialN': 6, 'thisRepN': 1}>
21.0991 	DATA 	Keypress: t
21.1109 	EXP 	fixation: autoDraw = False
21.1109 	EXP 	text: autoDraw = False
21.1109 	EXP 	text: height = 0.05
21.1109 	EXP 	text: height = 0.05
21.1109 	EXP 	text: height = 0.05
21.1109 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
21.1109 	EXP 	fixation: autoDraw = True
22.0950 	INFO 	Keyboard events cleared
22.0944 	EXP 	text: autoDraw = True
22.1110 	EXP 	fixation: autoDraw = False
22.4618 	EXP 	New trial (rep=2, index=0): <Trial 14 (0 in rep 2) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 14, 'thisTrialN': 0, 'thisRepN': 2}>
22.4658 	DATA 	Keypress: t
22.4767 	EXP 	fixation: autoDraw = False
22.4767 	EXP 	text: autoDraw = False
22.4767 	EXP 	text: height = 0.05
22.4767 	EXP 	text: height = 0.05
22.4767 	EXP 	text: height = 0.05
22.4767 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
