reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,161,0,23,l,0.7679370999685489,None,23,0,161,1,336.2264066999778,,336.2105076999869,336.2264066999778,337.22588969999924,337.22588969999924,337.22588969999924,,338.0096778999432,l,0.7679370999685489,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
78,80,162,162,1,23,t,0.6438646999886259,None,23,1,162,6,338.02557699999306,,338.0121764999931,338.02557699999306,339.0084682999877,339.0084682999877,339.02553299994906,,339.6590152999852,t,0.6438646999886259,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
11,30,7,163,2,23,l,0.8390386999817565,None,23,2,163,0,339.6748187999474,,339.66118459997233,339.6748187999474,340.67433169996366,340.67433169996366,340.67433169996366,,341.52455399994506,l,0.8390386999817565,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
40,55,62,164,3,23,t,3.215270699991379,None,23,3,164,3,341.5406453999458,,341.5268298999872,341.5406453999458,342.5243077999912,342.5243077999912,342.54028429999016,344.5393134999904,345.75615419994574,t,3.215270699991379,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
49,60,89,165,4,23,t,0.5798106999718584,None,23,4,165,4,345.7726856999798,,345.75860229996033,345.7726856999798,346.7718716999516,346.7718716999516,346.7718716999516,,347.35562699998263,t,0.5798106999718584,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
27,50,21,166,5,23,l,0.6166559999692254,None,23,5,166,2,347.3716054999968,,347.3577786999522,347.3716054999968,348.37157769995974,348.37157769995974,348.37157769995974,,349.00498759996844,l,0.6166559999692254,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
67,75,119,167,6,23,t,0.6594864000217058,None,23,6,167,5,349.0207948999596,,349.0070714999456,349.0207948999596,350.02076059998944,350.02076059998944,350.02076059998944,,350.68737829994643,t,0.6594864000217058,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
67,75,119,168,0,24,t,0.43559189996449277,None,24,0,168,5,350.70379419997334,,350.68754069996066,350.70379419997334,351.7029291999643,351.7029291999643,351.7029291999643,,352.15424529998563,t,0.43559189996449277,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
40,55,62,169,1,24,t,0.6361974999890663,None,24,1,169,3,352.16959059995133,,352.1564377999748,352.16959059995133,353.16937189997407,353.16937189997407,353.16937189997407,,353.81939339998644,t,0.6361974999890663,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
15,35,13,170,2,24,l,0.5455697999568656,None,24,2,170,1,353.835497699969,,353.82193149998784,353.835497699969,354.8188483999693,354.8188483999693,354.8350311999675,,355.3688259999617,l,0.5455697999568656,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
27,50,21,171,3,24,l,2.1000631999922916,None,24,3,171,2,355.38469849998364,,355.37098859995604,355.38469849998364,356.3842144999653,356.3842144999653,356.3842144999653,358.3834755999851,358.500837199972,l,2.1000631999922916,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
49,60,89,172,4,24,t,0.9468915999750607,None,24,4,172,4,358.51687269995455,,358.5034987999825,358.51687269995455,359.51619409996783,359.51619409996783,359.51619409996783,,360.4665526999743,t,0.9468915999750607,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
11,30,7,173,5,24,l,0.6396580999717116,None,24,5,173,0,360.482510599948,,360.4687874999945,360.482510599948,361.4820032999851,361.4820032999851,361.4820032999851,,362.13256529998034,l,0.6396580999717116,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
78,80,162,174,6,24,t,0.4564614999690093,None,24,6,174,6,362.14860219997354,,362.1353391999728,362.14860219997354,363.1315552999731,363.1315552999731,363.14804409997305,,363.5983827999444,t,0.4564614999690093,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
40,55,62,175,0,25,l,0.40753919997951016,None,25,0,175,3,363.6145424999995,,363.6005816999823,363.6145424999995,364.61414009996224,364.61414009996224,364.61414009996224,,365.0316696999944,l,0.40753919997951016,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
78,80,162,176,1,25,t,0.37299359997268766,None,25,1,176,6,365.0473155999789,,365.03455119999126,365.0473155999789,366.0468588999938,366.0468588999938,366.0468588999938,,366.4307252999861,t,0.37299359997268766,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
