reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,32,4,4,l,0.3280151999788359,None,4,4,32,3,85.51143249997403,,85.49923799996031,85.51143249997403,86.5122190999682,86.5122190999682,86.5122190999682,86.84574049996445,l,0.3280151999788359,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
49,60,89,33,5,4,l,0.33022470003925264,None,4,5,33,4,86.86084909999045,,86.84946229995694,86.86084909999045,87.84385629999451,87.84385629999451,87.86099879996618,88.17822449997766,l,0.33022470003925264,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
27,50,21,34,6,4,l,0.32104979996802285,None,4,6,34,2,88.19333459995687,,88.18134509999072,88.19333459995687,89.17709439998725,89.17709439998725,89.19373820000328,89.51241849997314,l,0.32104979996802285,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
15,35,13,35,0,5,l,0.368276400025934,None,5,0,35,1,89.52664140000707,,89.51573169999756,89.52664140000707,90.52657679998083,90.52657679998083,90.52657679998083,90.91052179998951,l,0.368276400025934,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
78,80,162,36,1,5,l,0.4185189999989234,None,5,1,36,6,90.92576279997593,,90.91339519998292,90.92576279997593,91.90937189996475,91.90937189996475,91.92595469998196,92.343589600001,l,0.4185189999989234,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
40,55,62,37,2,5,l,0.3539514999720268,None,5,2,37,3,92.35846199997468,,92.34729119995609,92.35846199997468,93.35873999999603,93.35873999999603,93.35873999999603,93.7259694999666,l,0.3539514999720268,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
27,50,21,38,3,5,l,0.6706940999720246,None,5,3,38,2,93.74108770000748,,93.72896340000443,93.74108770000748,94.74143880000338,94.74143880000338,94.74143880000338,95.42510689998744,l,0.6706940999720246,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
49,60,89,39,4,5,l,1.5103096999810077,None,5,4,39,4,95.44038819998968,,95.42927129997406,95.44038819998968,96.440678199986,96.440678199986,96.440678199986,97.95887539995601,l,1.5103096999810077,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
11,30,7,40,5,5,l,0.4380431000026874,None,5,5,40,0,97.97265939996578,,97.96194389997981,97.97265939996578,98.97312689997489,98.97312689997489,98.97312689997489,99.42390210001031,l,0.4380431000026874,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
67,75,119,41,6,5,t,0.5067933999816887,None,5,6,41,5,99.4386639999575,,99.4276525999885,99.4386639999575,100.43895809998503,100.43895809998503,100.43895809998503,100.95660949999001,t,0.5067933999816887,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
