18.3306 	EXP 	Fixation: autoDraw = False
18.3306 	EXP 	grating: autoDraw = False
18.3306 	EXP 	grating: ori = 0.0
18.3306 	EXP 	Fixation: autoDraw = True
19.3318 	INFO 	Keyboard events cleared
19.3313 	EXP 	Fixation: autoDraw = False
19.3313 	EXP 	grating: autoDraw = True
19.5480 	EXP 	New trial (rep=15, index=0): <Trial 15 (0 in rep 15) data={'thisN': 15, 'thisTrialN': 0, 'thisRepN': 15}>
19.5493 	DATA 	Keypress: up
19.5648 	EXP 	Fixation: autoDraw = False
19.5648 	EXP 	grating: autoDraw = False
19.5648 	EXP 	grating: ori = 0.0
19.5648 	EXP 	Fixation: autoDraw = True
20.5471 	INFO 	Keyboard events cleared
20.5467 	EXP 	grating: autoDraw = True
20.5798 	EXP 	Fixation: autoDraw = False
20.8461 	EXP 	grating: autoDraw = False
20.8470 	EXP 	New trial (rep=16, index=0): <Trial 16 (0 in rep 16) data={'thisN': 16, 'thisTrialN': 0, 'thisRepN': 16}>
20.8481 	DATA 	Keypress: up
20.8633 	EXP 	Fixation: autoDraw = False
20.8633 	EXP 	grating: autoDraw = False
20.8633 	EXP 	grating: ori = 4.0
20.8633 	EXP 	Fixation: autoDraw = True
21.8470 	INFO 	Keyboard events cleared
21.8464 	EXP 	grating: autoDraw = True
21.8626 	EXP 	Fixation: autoDraw = False
22.1304 	EXP 	New trial (rep=17, index=0): <Trial 17 (0 in rep 17) data={'thisN': 17, 'thisTrialN': 0, 'thisRepN': 17}>
22.1314 	DATA 	Keypress: up
22.1456 	EXP 	grating: autoDraw = False
22.1456 	EXP 	Fixation: autoDraw = False
22.1456 	EXP 	grating: autoDraw = False
22.1456 	EXP 	grating: ori = 0.0
22.1456 	EXP 	Fixation: autoDraw = True
23.1465 	INFO 	Keyboard events cleared
23.1461 	EXP 	Fixation: autoDraw = False
23.1461 	EXP 	grating: autoDraw = True
23.4626 	EXP 	grating: autoDraw = False
23.9295 	EXP 	New trial (rep=18, index=0): <Trial 18 (0 in rep 18) data={'thisN': 18, 'thisTrialN': 0, 'thisRepN': 18}>
23.9307 	DATA 	Keypress: up
23.9449 	EXP 	Fixation: autoDraw = False
23.9449 	EXP 	grating: autoDraw = False
23.9449 	EXP 	grating: ori = 0.0
23.9449 	EXP 	Fixation: autoDraw = True
24.9451 	INFO 	Keyboard events cleared
24.9447 	EXP 	Fixation: autoDraw = False
24.9447 	EXP 	grating: autoDraw = True
25.2443 	EXP 	grating: autoDraw = False
25.6123 	EXP 	New trial (rep=19, index=0): <Trial 19 (0 in rep 19) data={'thisN': 19, 'thisTrialN': 0, 'thisRepN': 19}>
25.6135 	DATA 	Keypress: up
25.6282 	EXP 	Fixation: autoDraw = False
25.6282 	EXP 	grating: autoDraw = False
25.6282 	EXP 	grating: ori = 0.0
25.6282 	EXP 	Fixation: autoDraw = True
26.6282 	INFO 	Keyboard events cleared
26.6277 	EXP 	Fixation: autoDraw = False
26.6277 	EXP 	grating: autoDraw = True
26.9270 	EXP 	grating: autoDraw = False
27.1778 	EXP 	New trial (rep=20, index=0): <Trial 20 (0 in rep 20) data={'thisN': 20, 'thisTrialN': 0, 'thisRepN': 20}>
27.1789 	DATA 	Keypress: up
27.1932 	EXP 	Fixation: autoDraw = False
27.1932 	EXP 	grating: autoDraw = False
27.1932 	EXP 	grating: ori = 0.0
27.1932 	EXP 	Fixation: autoDraw = True
28.1780 	INFO 	Keyboard events cleared
28.1774 	EXP 	grating: autoDraw = True
28.1933 	EXP 	Fixation: autoDraw = False
